Table 1
,,,,,,,
,,,১০২ খুলনা-৪,,,,
,,,,,,,
,কেন্দ্র,মোট ভোটার,আব্দুস সালাম মূর্শেদী ,আজিজুল বারী হেলাল ,প্রদত্ত ভোট,শতকরা হার,
,,,নৌকা ,ধানের শীষ ,,,
,"114 ২৯ নং নাচুনিয়া জুনারী সরকারী প্রাথমিক বিদ্যালয়, নাচুনিয়া,সাচিয়াদাহ (পুুরুষ ও মহিলা ভোটকেন্দ্র)",2336,1752,17,1799,77.01%,
,"115 ৩০ নং পাতলা সরকারী প্রাথমিক বিদ্যালয়, সাচিয়াদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2590,2370,0,2372,91.58%,
,"116 ইন্দুহাটি নেপালচন্দ্র মাধ্যমিক বিদ্যালয়, ইন্দুহাটি, সাচিয়াদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",3058,2708,0,2735,89.44%,
,"117 সাচিয়াদাহ সরকারী প্রাথমিক বিদ্যালয়, সাচিয়াদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2484,2252,0,2254,90.74%,
,"118 নলিয়ারচর সরকারী প্রাথমিক বিদ্যালয়, নলিয়ারচর, সচিয়াদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2809,2271,7,2293,81.63%,
,"119 38 নং তেরখাদা সরকারী প্রাথমিক বিদ্যালয়, তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2889,2083,54,2207,76.39%,
,"120 62 নং উপজেলা সদর সরকারী প্রাথমিক বিদ্যালয়, তেরখাদা, (পুরুষ ও মহিলা ভোটকেন্দ্র)",2394,1838,56,1961,81.91%,
,"121 41 নং পানতিতা সরঃ প্রাথমিক বিদ্যালয়,পানতিতা, তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",1295,974,48,1043,80.54%,
,"122 39 নং জয়সেনা সরকারী প্রাথমিক বিদ্যালয়, জয়সেনা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2108,1598,54,1697,80.50%,
,"123 আটলিয়া সিনিয়র মাদ্রাসা, আটলিয়া, তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",1902,1416,61,1578,82.97%,
,"124 ৪০নং রামমাঝি সরকারী প্রাথমিক বিদ্যালয়, রামমাঝি,তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",1707,1264,25,1319,77.27%,
,"125 থানা আদর্শ সরকারী প্রাথমিক বিদ্যালয়, বলর্দ্ধনা,তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2832,2469,29,2543,89.80%,
,"126 কোলা-পাটগাতী মাধ্যমিক বিদ্যালয়, কোলা, মধুপুর (পুরুষ ও মহিলা ভোটকেন্দ্র)",3247,2183,64,2301,70.87%,
,"127 ৪৭ নং মধুপুর শ্যামনগর সরকারী প্রাথমিক বিদ্যালয়, মধুপুর, তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2131,1366,21,1433,67.25%,
,"128 ৪৯ নং লস্করপুর সরকারী প্রাথমিক বিদ্যালয়র, লস্করপুর (পুরুষ ও মহিলা ভোটকেন্দ্র)",2059,1549,41,1708,82.95%,
,"129 54 নং পারহাজীগ্রাম সরকারী প্রাথমিক বিদ্যালয়,পারহাজীগ্রাম (পুরুষ ও মহিলা ভোটকেন্দ্র)",2169,1652,20,1699,78.33%,
,"130 ৫০ নং মোকামপুর মলিস্লপুর সরকারী প্রাথমিক বিদ্যালয়,দক্ষিন মোকামপুর, মধুপুর (পুরুষ ও মহিলা ভোটকেন্দ্র)",2916,2151,53,2318,79.49%,
,"131 ৩৩ নং উত্তর মোকামপুর সরকারী প্রাথমিক বিদ্যালয়,উত্তর মোকামপুর (পুরুষ ও মহিলা ভোটকেন্দ্র)",2040,1472,137,1654,81.08%,
